user_id,items,created_at,updated_at
4792,"[26299, 96184, 20737, 82416, 63933]",2023-10-19 04:43:42,2024-05-02 13:29:49
4879,"[91205, 15294, 4953, 73059, 21267]",2023-04-17 17:46:29,2023-12-24 06:42:13
4960,"[52681, 87953, 91699, 93490, 10597]",2024-11-05 17:30:11,2024-11-14 03:54:14
4973,"[20373, 12302, 91666, 21727, 81081]",2023-02-26 04:37:18,2024-01-03 04:45:00
5004,"[42620, 64453, 41221, 55939, 10597]",2024-04-22 21:49:45,2024-05-06 20:10:30
5006,"[41767, 47028, 38559, 66215, 31904]",2023-04-20 13:15:05,2024-02-25 06:48:51
5130,"[55731, 43870, 37910, 42040, 64694]",2023-05-20 17:26:22,2024-08-03 11:38:23
5351,"[71402, 16292, 52080, 197, 55633]",2023-09-09 06:07:26,2023-11-26 16:43:26
5597,"[60032, 78027, 73059, 51336, 87735]",2023-05-16 20:00:28,2024-04-27 23:18:59
5955,"[38928, 76829, 28446, 32918, 67065]",2023-01-21 10:18:10,2024-02-14 03:40:42
5989,"[32670, 68224, 67291, 20603, 88138]",2024-07-27 08:30:45,2024-08-31 01:07:02
5990,"[90463, 46566, 17540, 38543, 43870]",2023-09-24 08:03:38,2024-06-07 00:53:39
6044,"[64217, 5268, 62216, 27749, 22407]",2024-08-21 13:41:39,2024-08-25 02:54:21
6294,"[65602, 38359, 65295, 5861, 12548]",2023-12-22 09:36:09,2024-09-26 20:06:56
6382,"[62441, 97950, 40983, 44280, 10169]",2023-05-28 18:21:42,2023-10-16 11:08:25
6448,"[12738, 67065, 10500, 52364, 44954]",2024-06-06 06:57:15,2024-06-29 05:18:52
6487,"[73823, 63837, 37382, 93316, 66876]",2024-01-09 17:47:43,2024-08-03 21:05:10
6555,"[95821, 39842, 17465, 67908, 80902]",2023-04-06 16:45:17,2023-10-24 15:59:56
6818,"[15303, 888, 35594, 63837, 62444]",2023-07-09 09:54:04,2024-02-07 08:35:43
6930,"[9497, 53913, 93635, 56636, 11975]",2024-05-03 05:51:02,2024-09-16 12:15:45
7364,"[84529, 81747, 78905, 61883, 4352]",2024-04-22 02:09:04,2024-10-20 18:52:12
7434,"[1355, 17531, 28353, 71676, 38893]",2023-08-06 10:47:07,2024-01-29 15:06:47
7501,"[60923, 65052, 26218, 61660, 20297]",2024-08-21 09:08:09,2024-11-18 08:44:48
7685,"[81184, 46880, 80980, 20902, 20527]",2023-08-22 08:56:50,2023-08-28 00:01:01
7763,"[34144, 86630, 69504, 8129, 98030]",2023-02-16 15:57:56,2024-11-20 05:39:02
7982,"[13835, 11371, 97830, 73250, 36815]",2024-10-09 10:16:32,2024-11-17 01:37:10
7994,"[4779, 27749, 3840, 55943, 83348]",2023-07-21 12:58:18,2023-09-22 01:51:15
8053,"[20201, 38693, 78164, 60644, 77401]",2023-09-01 14:44:47,2024-06-08 06:40:22
8195,"[87779, 34342, 81815, 24090, 62441]",2024-10-11 14:23:47,2024-11-02 04:06:19
8456,"[51052, 60097, 73823, 16236, 61332]",2023-12-04 09:34:01,2024-03-16 11:20:50
8469,"[15623, 76493, 79699, 2545, 21740]",2023-07-28 00:01:01,2024-01-31 11:18:39
8609,"[88138, 53002, 82807, 24724, 26218]",2024-06-24 09:24:30,2024-08-04 21:53:08
8722,"[50510, 5934, 97951, 34653, 64235]",2024-10-02 15:29:24,2024-10-30 10:08:27
8765,"[80508, 88070, 46775, 91205, 86581]",2023-11-13 18:09:00,2023-11-14 15:48:07
8823,"[27565, 48439, 44731, 40115, 88904]",2024-11-04 05:13:55,2024-11-07 22:50:18
8856,"[71567, 35656, 7959, 31185, 60849]",2023-11-19 19:34:41,2024-09-05 15:51:54
8891,"[82171, 56698, 38693, 12373, 55943]",2023-01-21 15:45:24,2023-07-29 22:52:58
8922,"[37891, 54899, 55610, 77787, 39323]",2023-08-17 09:34:51,2024-11-06 05:21:11
8950,"[21727, 14969, 63933, 91397, 43870]",2023-01-18 20:40:45,2024-06-15 20:10:53
9196,"[94849, 81184, 62651, 85116, 90627]",2024-01-14 00:56:23,2024-07-29 12:17:28
9257,"[11888, 46914, 83348, 48293, 1023]",2023-07-22 22:34:33,2024-10-31 23:41:48
9421,"[60559, 20603, 59172, 96639, 85116]",2023-10-07 21:03:04,2024-03-07 05:04:56
9734,"[90653, 12281, 52998, 52764, 59830]",2024-01-23 08:33:48,2024-04-25 07:28:50
9829,"[31904, 53711, 30586, 33787, 93807]",2024-08-21 23:11:58,2024-10-19 18:20:13
10167,"[14563, 37549, 74744, 39842, 19832]",2022-12-20 03:00:10,2023-06-27 09:27:43
10175,"[2410, 95701, 3840, 75964, 65527]",2023-06-20 05:27:16,2024-03-27 16:19:08
10259,"[98551, 76960, 54983, 87117, 76207]",2024-10-03 17:32:06,2024-10-13 21:44:20
10450,"[15232, 1360, 21267, 85261, 62159]",2024-07-11 19:55:46,2024-07-15 01:58:43
10607,"[83566, 76726, 904, 53144, 59284]",2023-10-05 15:01:15,2024-03-27 08:39:36
10658,"[50144, 15303, 9480, 11755, 7959]",2024-08-28 02:26:57,2024-09-04 18:11:38
10744,"[18785, 49212, 46718, 12345, 27581]",2023-08-02 18:31:44,2024-09-14 16:08:48
10769,"[86630, 34862, 40869, 90627, 25986]",2024-01-14 23:22:49,2024-10-12 12:35:45
11013,"[63933, 98863, 31039, 18633, 82807]",2023-12-08 14:59:11,2023-12-14 04:11:02
11090,"[12433, 62293, 70761, 3942, 52054]",2024-11-15 01:06:34,2024-11-17 02:41:25
11246,"[37361, 90352, 49908, 27209, 5934]",2024-06-28 01:32:58,2024-08-15 16:05:51
11309,"[3840, 12302, 14211, 32313, 29144]",2024-11-01 02:47:40,2024-11-02 18:14:30
11443,"[90523, 93472, 81755, 31831, 10523]",2023-09-18 19:35:12,2023-11-24 10:58:59
11830,"[20878, 6962, 33851, 93703, 82152]",2024-10-12 23:11:56,2024-11-06 18:03:51
11979,"[21271, 20603, 86606, 23051, 9594]",2023-12-17 05:02:12,2024-01-06 05:13:12
12023,"[33837, 93809, 92621, 16565, 94530]",2024-02-20 12:33:11,2024-07-27 07:50:22
12033,"[93862, 10554, 97950, 23147, 87080]",2023-07-29 09:28:10,2023-11-26 05:10:32
12084,"[2070, 46885, 4599, 56005, 91998]",2023-09-17 18:36:37,2024-08-24 18:15:47
12182,"[57651, 48982, 52116, 31150, 69590]",2023-04-10 03:22:34,2024-02-26 14:03:00
12431,"[38928, 85261, 98814, 63407, 30586]",2024-08-17 00:52:24,2024-11-15 22:59:57
12536,"[65202, 60644, 73683, 1960, 64647]",2024-07-30 20:52:00,2024-09-11 09:22:35
12610,"[27749, 66436, 72762, 55831, 81184]",2023-06-09 09:02:46,2024-09-10 02:30:52
12889,"[453, 20902, 44942, 65924, 80372]",2023-04-13 10:45:57,2023-08-09 05:50:53
13043,"[61017, 53711, 42597, 23474, 10282]",2024-09-24 05:42:29,2024-10-29 07:08:10
13147,"[10523, 34144, 56740, 18676, 27197]",2022-12-16 00:15:49,2024-03-23 04:35:43
13217,"[46775, 68498, 3927, 83358, 40622]",2023-12-22 14:09:19,2024-03-07 15:03:31
13359,"[96639, 99523, 91947, 97188, 65232]",2024-07-11 16:19:25,2024-07-14 03:49:02
13424,"[83566, 80508, 20603, 15907, 71383]",2024-09-22 20:31:20,2024-11-02 01:41:02
13456,"[3942, 16096, 34400, 40983, 47646]",2023-08-09 15:36:25,2023-10-09 20:28:53
13494,"[26749, 32135, 69801, 5861, 4591]",2023-10-27 09:08:01,2023-10-30 12:59:24
13686,"[92140, 64112, 50644, 24090, 96586]",2023-09-05 16:32:50,2024-06-20 03:50:44
13693,"[81415, 28117, 53144, 38928, 64453]",2023-10-02 10:52:51,2023-10-14 03:49:39
13754,"[78127, 12433, 94578, 46484, 5843]",2023-10-20 11:22:55,2024-06-27 08:02:58
13781,"[18949, 64936, 52647, 88746, 37495]",2023-05-02 04:41:53,2024-02-06 10:48:01
13955,"[74679, 52080, 14563, 41806, 76962]",2024-11-17 10:45:06,2024-11-21 15:34:08
14065,"[11755, 20958, 62651, 56844, 56647]",2024-09-18 06:06:15,2024-10-21 01:12:49
14121,"[85745, 54899, 58023, 89491, 292]",2023-03-13 18:37:05,2024-03-05 00:52:18
14191,"[61171, 23051, 8791, 12281, 57826]",2023-11-13 14:51:21,2024-04-09 01:41:46
14274,"[197, 19424, 37495, 31150, 39753]",2023-01-22 23:38:28,2023-09-23 02:09:51
14289,"[34495, 14028, 33819, 18422, 88746]",2024-07-23 18:39:40,2024-10-21 22:10:20
14314,"[28353, 4373, 99038, 90653, 94592]",2022-12-07 09:23:45,2023-03-31 18:38:50
14331,"[66635, 18422, 87080, 48439, 36493]",2023-03-16 11:04:58,2024-09-24 07:41:30
14421,"[8055, 81868, 56740, 46395, 93862]",2024-07-25 21:05:50,2024-08-10 04:10:35
14499,"[71124, 27651, 67908, 81448, 5843]",2023-11-23 19:20:51,2024-09-29 06:32:29
14813,"[55917, 2425, 11755, 84529, 63353]",2024-09-10 18:11:44,2024-10-04 05:02:27
14892,"[22576, 81082, 35439, 3732, 96586]",2024-07-07 01:35:22,2024-11-20 23:34:23
14905,"[18095, 11437, 29158, 20902, 58054]",2024-07-20 11:02:38,2024-11-11 00:36:42
15355,"[54638, 23447, 13564, 38891, 46717]",2023-11-04 13:27:38,2024-08-28 16:15:01
15404,"[82807, 33851, 64018, 72398, 82416]",2023-02-18 21:25:32,2023-05-30 18:40:30
15474,"[84421, 99193, 55610, 95701, 92955]",2024-11-19 22:40:59,2024-11-20 16:37:18
15539,"[65590, 87256, 89892, 41201, 43893]",2024-10-16 04:00:51,2024-11-19 23:53:14
15592,"[86104, 20373, 60032, 32217, 41099]",2023-11-17 21:40:48,2024-07-20 22:12:14
15935,"[67908, 64801, 44487, 60559, 78127]",2024-08-18 10:58:09,2024-11-16 08:02:40
15941,"[76960, 97147, 3390, 9463, 24090]",2023-06-12 08:19:51,2023-07-19 14:19:37
16312,"[80537, 96639, 60559, 41806, 64358]",2023-02-09 05:55:54,2023-09-16 21:50:56
16464,"[44256, 2174, 74145, 47939, 8371]",2023-02-21 05:26:44,2023-04-07 07:33:34
16492,"[52572, 15294, 52639, 78905, 20603]",2024-06-14 09:05:31,2024-06-23 10:19:18
16691,"[95951, 47646, 41147, 28447, 64217]",2024-03-01 00:44:27,2024-10-13 19:16:06
16926,"[38140, 2091, 6814, 53612, 88746]",2024-02-06 01:39:51,2024-09-30 18:07:42
17058,"[50951, 69592, 37910, 20737, 44280]",2024-08-19 00:16:05,2024-09-12 20:52:28
17086,"[61017, 85745, 25324, 39538, 70608]",2023-09-26 19:04:06,2024-06-03 20:46:38
17411,"[95227, 57155, 73823, 52116, 77390]",2024-09-16 15:53:32,2024-11-16 00:38:56
17460,"[70325, 81755, 17540, 11064, 48858]",2023-04-05 17:58:49,2023-08-18 11:32:51
17538,"[86171, 37252, 11755, 98999, 16265]",2022-12-16 18:21:51,2024-09-27 03:55:29
17619,"[901, 61805, 64201, 27565, 4446]",2024-01-02 08:22:16,2024-09-27 16:50:57
17701,"[42952, 3047, 3840, 25082, 46464]",2023-09-28 03:38:37,2024-06-23 20:08:10
17795,"[34030, 8371, 5861, 60547, 44019]",2024-10-21 20:18:23,2024-11-13 01:35:35
17828,"[47765, 97950, 93843, 47939, 15512]",2023-05-10 06:29:42,2023-12-31 21:16:37
18066,"[88070, 34342, 87779, 62785, 29122]",2024-01-10 11:43:13,2024-07-19 11:41:40
18487,"[21460, 56595, 72398, 52764, 73309]",2022-11-24 01:17:32,2023-03-25 06:49:44
18535,"[8371, 71124, 97950, 14563, 91205]",2024-01-30 07:41:26,2024-03-30 20:51:29
18650,"[12668, 45666, 48293, 29158, 75452]",2023-11-02 15:27:48,2023-12-06 14:43:51
18665,"[10169, 84421, 92140, 71383, 69592]",2023-12-06 16:57:15,2024-06-17 14:00:58
18698,"[18040, 73254, 75964, 42887, 40115]",2022-12-01 11:21:58,2024-05-06 15:03:15
18699,"[76659, 48439, 52690, 76494, 99523]",2023-08-13 02:30:54,2023-11-19 18:13:32
18818,"[30973, 57184, 32303, 53711, 92208]",2023-04-01 08:57:40,2023-08-08 01:55:47
18940,"[60645, 90326, 93472, 63353, 27008]",2024-08-29 22:46:24,2024-10-13 20:50:40
18963,"[28094, 85186, 11975, 31354, 73059]",2023-08-30 06:47:38,2024-11-06 21:43:23
19014,"[4226, 26732, 15623, 21340, 52572]",2024-04-23 03:08:59,2024-07-05 17:12:52
19189,"[32670, 11861, 93703, 47578, 28446]",2024-03-27 00:10:03,2024-07-07 00:15:05
19224,"[20373, 27171, 8791, 70761, 17631]",2024-07-20 06:37:19,2024-11-11 22:55:39
19285,"[43058, 4591, 96900, 84532, 64662]",2024-11-14 06:07:01,2024-11-19 07:14:40
19305,"[73250, 66888, 96404, 61805, 88293]",2023-05-25 15:52:55,2023-09-29 17:41:50
19359,"[46717, 24924, 67291, 99250, 31076]",2024-05-28 18:18:20,2024-11-16 06:21:20
19594,"[71292, 17531, 61660, 65527, 28187]",2023-03-18 13:21:02,2024-08-24 15:05:43
19735,"[51336, 91666, 29807, 14026, 1715]",2024-01-13 10:57:03,2024-03-12 19:33:30
19772,"[69651, 94849, 63993, 64358, 21749]",2023-04-28 01:14:57,2024-04-14 15:39:09
19872,"[55731, 80951, 69278, 35328, 50144]",2023-04-27 05:41:38,2023-12-23 20:11:17
20019,"[95821, 54638, 51247, 47765, 32023]",2024-11-02 05:06:35,2024-11-18 16:20:12
20047,"[16661, 34653, 12302, 733, 29834]",2024-02-21 06:20:25,2024-09-17 03:14:50
20065,"[36912, 67065, 34550, 10554, 3698]",2024-01-07 03:03:43,2024-03-26 14:15:33
20135,"[16816, 35594, 47479, 18328, 82092]",2024-08-16 14:08:14,2024-11-11 17:13:05
20155,"[78673, 26732, 14028, 28933, 45881]",2023-01-17 04:24:15,2023-04-29 02:45:31
20160,"[57155, 83980, 21909, 99193, 59833]",2023-05-02 10:53:53,2024-06-13 08:29:01
20226,"[93862, 47578, 53022, 64018, 7428]",2024-01-01 18:01:40,2024-05-22 15:14:39
20263,"[84923, 16305, 888, 49908, 23530]",2024-06-18 11:16:36,2024-09-17 22:05:41
20312,"[18416, 92898, 91666, 39769, 28933]",2023-11-03 13:36:19,2024-01-04 08:08:15
20320,"[23447, 52230, 15294, 9972, 5546]",2023-11-19 03:22:29,2024-03-17 03:52:21
20358,"[76960, 90149, 3390, 23179, 54890]",2024-03-08 20:20:05,2024-08-03 22:58:16
20720,"[38621, 54522, 63353, 15263, 28093]",2024-04-29 01:26:56,2024-07-12 14:06:07
20931,"[83348, 33123, 82152, 41201, 23204]",2024-02-14 02:10:31,2024-03-12 03:21:32
21109,"[60321, 55731, 1023, 28117, 8129]",2023-11-20 14:00:17,2024-09-26 19:18:52
21281,"[26218, 91998, 64235, 77787, 91724]",2023-10-02 22:25:54,2023-11-29 20:01:29
21407,"[48982, 49946, 93490, 87005, 62651]",2023-03-12 21:17:47,2023-07-02 19:43:34
21539,"[83348, 57184, 75964, 64112, 92370]",2024-07-15 18:25:47,2024-09-20 14:39:33
21758,"[80951, 39743, 11888, 79018, 52364]",2024-01-27 06:03:26,2024-11-03 00:04:24
21808,"[49262, 84172, 47028, 7509, 76553]",2024-05-30 01:59:19,2024-10-05 20:35:35
21811,"[82556, 53149, 52724, 5843, 11988]",2023-10-25 17:24:22,2024-09-09 19:33:25
21877,"[88138, 80902, 44731, 85745, 73521]",2023-06-11 15:23:07,2024-09-21 15:43:30
21892,"[39538, 81750, 36815, 71383, 61157]",2023-12-17 12:45:46,2024-05-31 04:06:27
22076,"[56669, 16237, 22907, 94957, 49262]",2024-10-12 04:26:23,2024-10-28 16:30:18
22110,"[37252, 89496, 9374, 94578, 14625]",2023-10-21 07:23:50,2024-05-16 02:16:38
22123,"[21035, 47479, 90221, 37891, 96122]",2024-07-24 03:41:26,2024-09-07 17:31:44
22141,"[42952, 27438, 61805, 23474, 2070]",2024-09-21 14:05:56,2024-11-11 05:14:47
22170,"[90476, 47076, 41688, 60849, 18422]",2024-04-07 20:46:15,2024-09-13 02:02:24
22209,"[91666, 33872, 28117, 44280, 76459]",2024-10-13 10:09:20,2024-10-14 18:16:01
22382,"[80372, 72755, 86630, 99460, 17633]",2024-05-24 20:50:53,2024-11-18 10:07:46
22448,"[10103, 3840, 29122, 44487, 26299]",2023-03-16 13:16:25,2023-08-10 23:37:03
22546,"[83358, 55141, 45666, 55633, 56698]",2024-04-26 14:01:16,2024-09-21 15:39:11
22649,"[8791, 1023, 93843, 59284, 47028]",2024-03-15 11:58:11,2024-10-23 03:56:50
22818,"[60923, 4352, 47453, 89985, 86145]",2024-04-24 02:26:45,2024-05-31 01:50:57
22970,"[96639, 51846, 24727, 10282, 58592]",2024-01-20 12:43:37,2024-08-22 11:55:07
23254,"[47479, 17540, 44576, 29834, 10282]",2024-03-20 01:00:32,2024-07-25 09:18:44
23786,"[33855, 89271, 28933, 16305, 90187]",2023-05-10 21:08:28,2024-03-01 17:09:43
23852,"[80508, 46880, 37140, 36401, 3942]",2024-05-10 11:43:23,2024-11-05 00:08:22
23889,"[84172, 29612, 57755, 85261, 18785]",2024-10-22 09:17:27,2024-11-20 10:35:19
23919,"[94530, 41806, 29463, 87964, 37945]",2023-11-24 04:53:11,2024-09-06 07:07:57
23977,"[733, 57651, 73250, 7037, 15512]",2023-06-21 23:46:28,2024-05-12 11:53:06
24040,"[41762, 36401, 75452, 74369, 39743]",2023-04-07 14:57:49,2024-05-23 16:03:23
24353,"[27749, 80902, 45305, 7251, 41762]",2024-11-11 01:40:22,2024-11-15 01:20:26
24374,"[84532, 28933, 32135, 96586, 47537]",2024-11-10 17:09:49,2024-11-15 02:46:05
24399,"[99523, 91947, 2174, 62293, 29834]",2023-03-30 05:18:08,2023-04-16 21:26:08
24503,"[62812, 76726, 76962, 81448, 67291]",2024-04-30 23:56:10,2024-07-28 13:45:49
24598,"[11003, 5639, 74978, 39649, 52054]",2024-02-19 12:37:38,2024-10-19 14:01:56
24636,"[47479, 38359, 67065, 6962, 34102]",2024-04-13 22:05:38,2024-06-12 02:41:06
24672,"[56949, 89271, 78673, 38928, 47765]",2023-06-24 11:04:13,2024-09-09 07:15:26
25190,"[94578, 24924, 20737, 91230, 16816]",2024-03-04 15:33:40,2024-09-14 01:55:02
25213,"[18299, 18958, 67291, 76726, 21340]",2023-09-27 04:33:46,2024-08-26 22:39:13
25373,"[37201, 4599, 59284, 81243, 63353]",2023-01-12 21:20:42,2023-04-09 18:29:37
25383,"[92621, 95669, 94849, 32023, 90523]",2023-06-19 13:04:29,2024-08-27 18:40:14
25419,"[74535, 21035, 75945, 53233, 27209]",2023-02-02 20:28:30,2024-09-16 13:46:33
25457,"[42991, 99472, 13193, 15294, 10523]",2024-01-06 05:14:04,2024-07-24 08:24:37
25608,"[47054, 69252, 73059, 93626, 23179]",2022-12-06 03:01:32,2024-03-30 17:50:11
25645,"[38359, 20297, 1960, 38893, 99038]",2024-11-12 17:19:00,2024-11-21 09:53:36
25649,"[99523, 55731, 61951, 86334, 96639]",2024-01-09 18:13:48,2024-05-29 18:36:49
25915,"[148, 50107, 88470, 62441, 81747]",2024-01-12 16:15:03,2024-02-05 23:58:19
25932,"[76482, 88660, 38559, 49952, 76494]",2024-07-22 10:48:29,2024-10-19 12:20:21
25960,"[18472, 50488, 70741, 49212, 84532]",2023-03-27 00:16:02,2023-07-08 13:06:31
26036,"[34495, 55943, 13835, 13564, 42040]",2024-09-13 01:30:02,2024-09-26 01:19:59
26067,"[77401, 33139, 55731, 12738, 57755]",2024-10-15 13:14:08,2024-11-10 02:02:28
26133,"[90463, 16305, 99250, 47646, 46736]",2024-04-17 17:26:24,2024-10-23 08:16:37
26188,"[46395, 82171, 60136, 21340, 61829]",2023-10-16 05:17:47,2024-05-29 21:47:41
26289,"[65295, 46395, 14490, 47236, 76726]",2023-05-08 10:13:26,2024-08-16 06:19:30
26496,"[57184, 39842, 17633, 52998, 26811]",2024-09-15 01:14:28,2024-09-20 04:59:59
26603,"[36337, 27008, 90627, 35676, 37140]",2023-10-02 22:29:46,2024-09-29 19:28:54
26743,"[12302, 2410, 56636, 99122, 38359]",2023-10-30 05:05:26,2024-05-23 14:47:25
26777,"[52727, 37432, 12345, 75254, 60202]",2023-03-01 21:49:47,2024-02-29 17:00:26
26891,"[61951, 46875, 33139, 77526, 77117]",2024-02-29 12:29:15,2024-11-15 11:07:05
27031,"[39538, 40115, 42040, 78465, 60644]",2024-10-21 13:14:07,2024-11-02 14:57:31
27037,"[733, 18633, 73521, 88138, 37549]",2023-09-10 09:35:38,2024-07-26 09:40:58
27056,"[61761, 92688, 37549, 80537, 4591]",2023-05-13 03:44:05,2024-07-27 02:14:12
27110,"[71383, 15329, 38527, 34653, 90221]",2024-05-08 00:22:02,2024-07-28 03:17:10
27118,"[29612, 35351, 38543, 54638, 36093]",2024-07-03 01:17:01,2024-09-01 03:42:27
27159,"[82944, 54363, 84695, 37890, 90326]",2024-11-13 01:40:04,2024-11-21 09:40:47
27364,"[40115, 10373, 76326, 37252, 14046]",2023-07-15 17:51:14,2023-11-15 07:31:53
27508,"[81184, 65185, 97830, 49946, 49212]",2024-02-29 13:18:18,2024-04-20 18:23:55
27603,"[10597, 64201, 65116, 54114, 11383]",2024-07-06 06:14:00,2024-09-23 03:24:28
27722,"[54522, 92955, 58955, 61273, 32670]",2024-02-02 19:06:50,2024-05-02 21:29:53
27913,"[7423, 28708, 17633, 53233, 97862]",2023-02-19 12:36:11,2024-10-05 02:55:23
28149,"[57832, 16382, 49262, 29807, 8055]",2023-06-01 14:41:45,2024-02-18 15:49:30
28171,"[60645, 5038, 82944, 27209, 46566]",2023-03-25 02:48:37,2023-05-11 16:56:27
28189,"[65924, 453, 20878, 93316, 748]",2024-01-22 21:21:21,2024-10-09 16:41:31
28198,"[88660, 57826, 87645, 80508, 17531]",2023-09-17 06:41:15,2024-11-06 09:47:58
28219,"[57155, 26749, 88401, 81755, 82171]",2023-01-06 22:48:32,2023-09-01 16:46:12
28345,"[60202, 32918, 25587, 35910, 55610]",2023-08-11 02:58:12,2024-05-21 03:26:28
28377,"[63353, 76829, 62882, 30252, 91699]",2024-04-20 18:35:06,2024-07-27 14:03:27
28703,"[65232, 4504, 10373, 62303, 7423]",2024-08-08 00:33:16,2024-09-05 12:55:01
28790,"[15512, 47939, 27008, 20587, 22407]",2024-11-07 05:44:26,2024-11-15 19:14:24
28857,"[35910, 81184, 88138, 97580, 38140]",2023-06-20 10:37:25,2024-03-28 17:36:54
28865,"[52116, 94849, 27197, 96900, 27209]",2024-07-06 07:01:25,2024-07-09 11:43:38
28969,"[90476, 51247, 73250, 65602, 23204]",2023-04-15 23:19:19,2023-10-05 16:04:50
28975,"[86334, 65185, 76778, 76588, 24090]",2024-08-20 00:43:09,2024-09-10 03:06:47
29035,"[84923, 64662, 89491, 57184, 62216]",2024-11-11 09:13:29,2024-11-19 11:35:30
